0
1
2
3
4
5
6
7
8
18780
         4609816 function calls (4606727 primitive calls) in 41.508 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.010    0.005 __init__.py:635(_get_configdir)
        2    0.000    0.000    0.002    0.001 __init__.py:660(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:672(_decode_filesystem_path)
        1    0.000    0.000    0.000    0.000 __init__.py:679(_get_data_path)
        1    0.005    0.005    0.075    0.075 __init__.py:7(<module>)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:722(_get_data_path_cached)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.010    0.010 __init__.py:756(matplotlib_fname)
        1    0.000    0.000    0.001    0.001 __init__.py:854(RcParams)
      250    0.001    0.000    0.001    0.000 __init__.py:863(<genexpr>)
       24    0.002    0.000    0.054    0.002 __init__.py:870(__init__)
     1036    0.010    0.000    0.117    0.000 __init__.py:874(__setitem__)
        1    0.011    0.011    0.029    0.029 __init__.py:88(<module>)
       75    0.001    0.000    0.001    0.000 __init__.py:894(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:918(update)
        1    0.000    0.000    0.051    0.051 __init__.py:967(rc_params)
       22    0.000    0.000    0.000    0.000 __init__.py:987(is_url)
        1    0.001    0.001    0.011    0.011 __init__.py:99(<module>)
       44    0.002    0.000    0.005    0.000 __init__.py:998(_open_file_or_url)
        2    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        4    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        2    0.000    0.000    0.000    0.000 _abcoll.py:63(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.007    0.007    0.095    0.095 _axes.py:1(<module>)
        1    0.001    0.001    0.018    0.018 _axes.py:93(Axes)
        1    0.003    0.003    0.009    0.009 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:128(_process_plot_var_args)
        1    0.000    0.000    0.001    0.001 _base.py:395(_AxesBase)
        1    0.000    0.000    0.000    0.000 _cm.py:59(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:98(get_color_function)
        1    0.007    0.007    0.008    0.008 _cm_listed.py:1(<module>)
